transaction_id,employee_id,employee_name,product_category,customer_rating,order_value
T001,E101,Ali,Burgers,4.5,1200
T002,E102,Sara,Pizzas,3.0,2500
T003,E101,Ali,Fries,5.0,300
T004,E103,Zain,Burgers,4.0,1500
T005,E101,Ali,Shakes,4.5,800
T006,E102,Sara,Burgers,2.5,1100
T007,E104,Ayesha,Fries,4.0,400
T008,E103,Zain,Pizzas,5.0,2200
T009,E104,Ayesha,Shakes,4.5,900
T010,E101,Ali,Pizzas,4.0,2600
T011,E102,Sara,Shakes,3.5,750
T012,E103,Zain,Burgers,4.5,1300
T013,E105,Bilal,Fries,5.0,350
T014,E104,Ayesha,Burgers,3.0,1400
T015,E101,Ali,Fries,4.5,450
T016,E105,Bilal,Pizzas,4.0,2700
T017,E102,Sara,Fries,4.5,400
T018,E103,Zain,Shakes,5.0,850
T019,E104,Ayesha,Pizzas,3.5,2300
T020,E105,Bilal,Burgers,4.5,1250
